iteration,placebo_ate,placebo_std_error,placebo_p_value,true_ate,outcome_column,treatment_column
129,-0.008518341106894851,0.01886593294560251,0.6516150023300588,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
130,0.033136954211167406,0.024715616943806796,0.18000832633319408,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
131,0.017070793195333517,0.01571786070739971,0.27744531575333553,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
132,0.012076295507160922,0.018539530674870998,0.5148006603309876,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
133,0.007602738295420269,0.0204419910509597,0.70995412624572,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
134,-0.011854396909568712,0.025595481714250932,0.6432610655943218,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
135,0.00870116386664487,0.01451022070117095,0.5487344628362743,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
136,-0.027914806462596968,0.017481833035296705,0.11031264961798608,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
137,0.007476612474241537,0.01571663618535447,0.6342786620462102,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
138,0.02606619539582212,0.020892367592596835,0.2121621884256908,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
139,0.008222247098441661,0.023155042873972395,0.7225181910201393,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
140,-0.010362105361926182,0.015013009507027672,0.4900631378501804,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
141,-0.020502245696114522,0.014256737840115176,0.15041302534537582,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
142,0.024603919632188928,0.0204221199549763,0.228292819559196,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
143,0.0032202528089217597,0.014550156506391847,0.8248426270658571,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
144,0.00989658973845338,0.018198141037401805,0.5865624447297435,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
145,0.04834247738259702,0.013804656830012278,0.0004619592940670635,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
146,0.01620881220267798,0.021556493384835222,0.45209767181872706,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
147,-0.00835886314089035,0.014845321772082152,0.5733914473246121,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
148,-0.0277315407397821,0.019598049396576143,0.1570639952759313,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
149,-0.008531876331096113,0.015579125334650952,0.5839336459040213,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
150,-0.021450687305238594,0.017286505634733173,0.21464563234011558,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
151,0.012345552583758159,0.01854728506310135,0.5056502725085169,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
152,-0.019115844525767454,0.015212057081079098,0.2088896173205913,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
153,0.015172406341889808,0.015978452480612818,0.34233882983623787,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
154,0.010192088350934391,0.016913279399289206,0.5467690691285565,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
155,-0.004311385982821927,0.012576236660152885,0.7317338471444155,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
156,-0.02417361005798311,0.021361028725853548,0.25777369714126164,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
157,-0.010735375643435768,0.01618494838381836,0.507142417415458,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
158,-0.004100930622041828,0.019345094594632718,0.8321162869336478,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
159,-0.0069736789491744895,0.013969897192305108,0.6176432207609539,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
160,0.03803792883615829,0.015154336512855282,0.012071888484440275,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
161,-0.038889485968444895,0.02986154444672536,0.1928047357312832,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
162,0.001518590298037606,0.014673398051256442,0.9175719042406959,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
163,-0.040062675392284294,0.02362609197383253,0.08994342043898858,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
164,-0.013103773097516883,0.018169683108481893,0.47079332313283573,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
165,-0.03592464737710322,0.021905883130919086,0.10101466800756717,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
166,0.008798307306959538,0.01822261220655184,0.6292209892600897,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
167,0.007690776296343927,0.02143168846973454,0.7197067860705951,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
168,0.03572491806619037,0.02301528859859658,0.12060827440285028,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
169,-0.02590944628158589,0.01777683932953243,0.1449830205073097,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
170,-0.02201317460937256,0.01600688015834138,0.16905951508142392,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
171,-0.004923710755162391,0.01360406562978315,0.7174048197181857,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
172,0.014785887752160708,0.01529149909509149,0.33357646072525304,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
173,-0.024771092582050624,0.024732918574449345,0.3165641451692296,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
174,-0.021181320027427064,0.01931361263133166,0.27277072127301527,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
175,-0.0004346876713632224,0.01612858936651065,0.9784985165054879,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
176,-0.001901474455629223,0.017417838488829038,0.9130690649530575,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
177,-0.010207931079965964,0.019268338012826108,0.5962662380284076,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
178,0.03180284761332552,0.019643939519920245,0.10545482605034229,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
179,-0.020666267380945062,0.017131579118979834,0.22769185985806994,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
180,-0.011424151550008234,0.01114617825396946,0.3053920237775657,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
181,-0.012126241718670666,0.017921622639128585,0.49864307023993304,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
182,-0.03766574568109682,0.039626832379931115,0.34185259540094015,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
183,0.01213901866796056,0.020482586455778128,0.5534149586341894,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
184,0.013707697817345132,0.01665945799302772,0.41061163864414973,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
185,0.00828984833208615,0.02516995760878201,0.7418874685940633,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
186,0.020976088098324856,0.017241330756210965,0.22375014826839823,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
187,0.002286676223125318,0.017171390153400596,0.8940606770994823,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
188,0.015184848355721987,0.01469430372230247,0.30142454949575437,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
189,-0.013758675783029218,0.01737985146636881,0.42856759058727845,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
190,0.013010047145795317,0.013865398931810853,0.3480849489713598,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
